"tag with attr=""type""",figureCitations,frequency
"<subSubSection type=""additional photographic records"">",true,1
"<subSubSection type=""additional photos at popovkin"">",true,2
"<subSubSection type=""adult fig"">",true,1
"<subSubSection type=""caption"">",true,3
"<subSubSection type=""figs 1-6"">",true,2
"<subSubSection type=""figures in flick"">",true,1
"<subSubSection type=""figures in flickr"">",true,6
"<subSubSection type=""figures on flickr"">",true,6
"<subSubSection type=""figures"">",true,4
"<subSubSection type=""illustr"">",true,2
"<subSubSection type=""illustration"">",true,2
"<subSubSection type=""illustrations"">",true,5
"<subSubSection type=""images in nature examined"">",true,1
